coreid	identifier	format	accessURI	rights	owner	creator	type	idigbio_recordSetID
931089f7-db2e-42f7-96e7-c9e479d45815	urn:uuid:837ae8ca-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099645.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
b20a17ed-ce6b-4e39-b81b-e9ed6491ccad	urn:uuid:83824160-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099649.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
5d441f10-51cd-46d4-b5de-2477e4ac31f4	urn:uuid:82384228-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099654.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
d4b45995-69a9-4c3b-9448-4c3b8f3b6f16	urn:uuid:8385a292-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099660.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
ecd5ffe9-d03e-4ac0-9530-230e79d76024	urn:uuid:83855d8c-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099699.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
38682744-7313-4177-8587-7a3f481acee9	urn:uuid:8385bcd2-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099705.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
dec5d2f6-a37f-4202-b2ac-db3aa8111f44	urn:uuid:83868b44-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00099713.jpg	http://creativecommons.org/licenses/by/4.0/	Finnish Museum of Natural History (Museum of Zoology Helsinki)	Finnish Museum of Natural History (Museum of Zoology Helsinki)	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
d74fde4f-d1c1-4bb1-83b8-023feca8a090	urn:uuid:82e31cca-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00108487 -Slaterocoris longipennis male.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
efd0626b-c8ce-428f-ab55-47f93c6af569	urn:uuid:82e31d60-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00108488 -Slaterocoris longipennis female.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
492e4ed2-c07a-48db-8d2c-880f85c55750	urn:uuid:8235a874-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00111420 -Slaterocoris flavipes female.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
48291911-994f-45be-9d8e-2d0103975717	urn:uuid:8235b3c8-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00116760 - Slaterocoris sheridani male.jpg	http://creativecommons.org/licenses/by/4.0/	John T. Polhemus Collection	John T. Polhemus Collection	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
897353d4-2606-4fdb-9524-400501ff8a27	urn:uuid:82cdfcd2-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00148167_Oncotylus_guttulatus_F.jpg	http://creativecommons.org/licenses/by/4.0/	Zoological Institute, Russian Academy of Sciences	Zoological Institute, Russian Academy of Sciences	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
2d6caac6-94ba-4d12-a13c-94713d6b2273	urn:uuid:82cdff16-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00148171_Oncotylus_guttulatus_M.jpg	http://creativecommons.org/licenses/by/4.0/	Zoological Institute, Russian Academy of Sciences	Zoological Institute, Russian Academy of Sciences	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
12fa71af-77e3-48bc-85a4-679805b635b9	urn:uuid:82dff428-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00194552_phoenicocoris nevadensis m.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
f42443e0-dbf6-4500-abd8-e73d4e700050	urn:uuid:82dff5ea-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000001/AMNH_PBI 00194553_phoenicocoris nevadensis f.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
b41eef2e-c66d-4e79-b786-dc438f97ddbf	urn:uuid:82b35dfa-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094267.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
d43b1eef-c1b0-4924-a605-0430d13b0014	urn:uuid:82b35e86-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094268.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
2b17f0fb-6863-4764-b2fa-4e9881444273	urn:uuid:8269c7da-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094269 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
7e980f04-2f58-4a69-8035-acd0d2dff30b	urn:uuid:8269c410-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00094272 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
