coreid	identifier	format	accessURI	rights	owner	creator	type	idigbio_recordSetID
5e616504-d4e6-4822-ba89-6df6abd48ac2	urn:uuid:84ab25a2-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000020/AMNH_BEE 00090539-1 Andrena accepta F.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	8919571f-205a-4aed-b9f2-96ccd0108e4c
855d0814-7d8d-441b-9813-aaa87c1152cf	urn:uuid:84ab25a2-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000020/AMNH_BEE 00090539-2 Andrena accepta F.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	8919571f-205a-4aed-b9f2-96ccd0108e4c
f2206942-4797-4e77-bb8d-8a5dbecd06ed	urn:uuid:84ab25a2-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000020/AMNH_BEE 00090539-3 Andrena accepta F.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	8919571f-205a-4aed-b9f2-96ccd0108e4c
