coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,associatedSpecimenReference,type,subtype,format,metadataLanguage
799721,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017235_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017235_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017235_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017235_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:fc63883d-cb13-4e2d-a9a8-d404ea7d64af,"2014-04-10 16:05:16",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=799721,StillImage,Photograph,image/jpeg,en
800246,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:0e8db00b-9f04-46ac-a478-227019f0d040,"2014-04-10 16:08:54",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800246,StillImage,Photograph,image/jpeg,en
800246,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017272_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:4a091c59-359f-4c66-b7e1-2078c932fc59,"2014-04-10 16:16:30",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800246,StillImage,Photograph,image/jpeg,en
800102,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017256_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017256_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017256_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017256_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:ce3ce305-efd0-450a-ae4d-d1cd3f600f54,"2014-04-10 16:18:27",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800102,StillImage,Photograph,image/jpeg,en
800011,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:4f8e7b09-9c73-468d-ba50-db0bd7bf7bae,"2014-04-10 16:19:34",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800011,StillImage,Photograph,image/jpeg,en
800011,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0017247_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:ef849fa3-9d2d-4745-8c9f-1d86c9edc777,"2014-04-10 16:20:41",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=800011,StillImage,Photograph,image/jpeg,en
493716,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0016959_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0016959_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0016959_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0016959_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:fa0d94e1-0995-430e-8723-23816a79a925,"2014-04-10 16:22:41",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=493716,StillImage,Photograph,image/jpeg,en
1043982,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:aff16aa3-d416-4749-b30c-6c50b2706db4,"2014-04-10 16:23:42",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=1043982,StillImage,Photograph,image/jpeg,en
1043982,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_lat_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_lat_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038026_habitus_lat.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, lateral",,urn:uuid:2d0e0ac1-2fc0-4919-a09b-56f619c089e7,"2014-04-10 16:25:35",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=1043982,StillImage,Photograph,image/jpeg,en
1043984,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_dor_lg.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_dor_tn.jpg,http://symbiota4.acis.ufl.edu/imglib/scan/ASU/201404/ASUHIC0038028_habitus_dor.jpg,,"Arizona State University Hasbrouck Insect Collection (ASU-ASUHIC)","ASUHIC, 2014",http://creativecommons.org/publicdomain/zero/1.0/,"Habitus, dorsal",,urn:uuid:c50c0d98-bf25-441d-9aea-7277892208c4,"2014-04-10 16:26:50",http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=1043984,StillImage,Photograph,image/jpeg,en
